Claart,Descripción,Existencia,Stock Minimo,Stock Maximo,Stock de Seguridad
08TORC385,Tornillo coche 3/8x5,302.0,0.0,0.0,0.0
08TORC5161,Tornillo coche 5/16x1,517.0,0.0,0.0,0.0
08TORC516212,Tornillo coche 5/16x2 1/2,503.0,0.0,0.0,0.0
08TORC516312,Tornillo coche 5/16x3 1/2,447.0,0.0,0.0,0.0
08TUER12,Tuerca 1/2,1144.0,0.0,0.0,0.0
08TUER34,Tuerca 3/4,584.0,0.0,0.0,0.0
08TUER38,Tuerca 3/8,524.0,0.0,0.0,0.0
02TORS212,Torn std 2 1/2,3152.0,600.0,1200.0,100.0
0644412,Pija 8x1/2,2500.0,120.0,240.0,20.0
06ESP381,Esparrago galv 3/8,48.0,18.0,36.0,3.0
06ESPA1,Esparrago galv 1,18.0,60.0,120.0,10.0
06PIJ8112,Pija 8x1 1/2,7146.0,260.7692307692308,521.5384615384615,43.46153846153846
06TAQA383,Taquete arpon 3/8 x 3,395.0,150.0,300.0,25.0
06TORG316212,Tornillo gota 3/16x2 1/2,679.0,36.0,72.0,6.0
08RON1,Rondana plana 1,604.0,6.0,12.0,1.0
08RON12,Rondana plana 1/2,620.0,72.0,144.0,12.0
08RON14,Rondana plana 1/4,2279.0,365.25,730.5,60.875
08RON316,Rondana plana 3/16,1045.0,212.0,424.0,35.333333333333336
08RON34,Rondana plana 3/4,643.0,48.0,96.0,8.0
08RON38,Rondana plana 3/8,456.0,166.36363636363637,332.72727272727275,27.727272727272727
08RON516,Rondana plana 5/16,648.0,71.0,142.0,11.833333333333334
08RON58,Rondana plana 5/8,883.0,48.0,96.0,8.0
08TOR123,Tornillo 1/2x3,593.0,50.0,100.0,8.333333333333334
08TOR125,Tornillo 1/2x5,382.0,36.0,72.0,6.0
08TOR141,Tornillo 1/4x1,777.0,12.0,24.0,2.0
08TOR1434,Tornillo 1/4x3/4,434.0,600.0,1200.0,100.0
08TOR38112,Tornillo 3/8x 1 1/2,702.0,24.0,48.0,4.0
08TOR384,Tornillo 3/8x4,418.0,72.0,144.0,12.0
08TOR5161,Tornillo 5/16x1,662.0,12.0,24.0,2.0
08TOR5164,Tornillo 5/16x4,409.0,24.0,48.0,4.0
08TOR5165,Tornillo 5/16x5,289.0,24.0,48.0,4.0
08TUE316,Tuerca 3/16,2696.0,36.0,72.0,6.0
08TUER14,Tuerca 1/4,2348.0,521.1428571428571,1042.2857142857142,86.85714285714286
08TUER516,Tuerca 5/16,639.0,42.92307692307693,85.84615384615385,7.153846153846154
08TUER58,Tuerca 5/8,568.0,33.0,66.0,5.5
08TUER716,Tuerca 7/16,148.0,144.0,288.0,24.0
03101AL18,101 Angulo Liso C-18,775.6,115.44000000000001,230.88000000000002,19.240000000000002
03101AL20Z,101 Angulo Liso C-20 ZINTRO,254.8,44.8,89.6,7.466666666666666
03103TS18,103 T Sencilla C-18,852.6,90.3,180.6,15.049999999999999
03103TS20,103 T Sencilla C-20,681.6,72.36923076923078,144.73846153846156,12.061538461538463
03103TS20Z,103 T Sencilla C-20 ZINTRO,185.6,42.24000000000001,84.48000000000002,7.040000000000001
03106Z18,106 Z C-18,305.3,51.599999999999994,103.19999999999999,8.6
03121CH18,121 Chambrana C-18,872.0,214.0,428.0,35.666666666666664
03121CH20,121 Chambrana C-20,594.0,92.25,184.5,15.375
03121CH20Z,121 Chambrana C-20 ZINTRO,270.0,63.0,126.0,10.5
03122ES18,122 Escalonado C-18,432.0,59.75999999999999,119.51999999999998,9.959999999999999
03122ES20,122 Escalonado C-20,435.0,47.45454545454545,94.9090909090909,7.909090909090909
03122ES20Z,122 Escalonado C-20 ZINTRO,304.5,26.099999999999998,52.199999999999996,4.35
03123AR18,123 Ang Ranurado  C-18,477.3,55.28571428571428,110.57142857142856,9.214285714285714
03123AR20Z,123 Ang Ranurado C-20 ZINTRO,310.4,19.200000000000003,38.400000000000006,3.2
03124GVC18,124 Guia p/ventana C-18,468.4,45.46666666666667,90.93333333333334,7.577777777777778
03126CHC18,126 Chambrana Cerr C-18,551.2,62.400000000000006,124.80000000000001,10.4
03127TDC18,127 T Doble C-18,291.2,89.6,179.2,14.933333333333332
03160PSM18,160 Pasamanos C-18,206.4,90.30000000000001,180.60000000000002,15.05
03160PSM20,160 Pasamanos C-20,368.0,48.0,96.0,8.0
03DUDO20,170 Duela Doble C-20,2321.4,158.625,317.25,26.4375
03DUDOZ20,170 Duela Doble C-20 ZINTRO,580.4,183.3,366.6,30.55
03DUSE20,171 Duela sencilla C-20,151.2,32.400000000000006,64.80000000000001,5.4
03K10018,K 100 Manguete C-18,234.6,69.0,138.0,11.5
03M22518,M-225 C-18,664.4,118.26,236.52,19.71
03M22518Z,M-225 C-18 ZINTRO,448.4,45.599999999999994,91.19999999999999,7.6
03M22520Z,M-225 C-20 ZINTRO,74.4,69.6,139.2,11.6
03P10018,P-100 C-18,368.8,118.15384615384616,236.30769230769232,19.692307692307693
03PC10018,C-100 C-18,734.1,233.36470588235295,466.7294117647059,38.89411764705883
03PC10020,C-100 C-20,715.0,84.77142857142857,169.54285714285714,14.12857142857143
03PC10020Z,C-100 C-20 ZINTRO,81.9,717.5999999999999,1435.1999999999998,119.6
03PC12518,C-125 C-18,949.0,148.5,297.0,24.75
03PC12520,C-125 C-20,798.0,67.19999999999999,134.39999999999998,11.2
03PC125C20Z,C-125 C.20 ZINTRO,411.6,336.0,672.0,56.0
03PC15018,C-150 C-18,680.1,151.36,302.72,25.226666666666667
03PC15020,C-150 C-20,626.5,232.64999999999998,465.29999999999995,38.775
03PC20018,C-200 C-18,1228.0,147.89999999999998,295.79999999999995,24.65
03PC718Z,C-075 C18 ZINTRO,0.0,980.4000000000001,1960.8000000000002,163.4
03PC7518,C-075 C-18,904.2,166.54285714285714,333.0857142857143,27.75714285714286
03PC7520Z,C-075 C-20 ZINTRO,682.0,19.200000000000003,38.400000000000006,3.2
03PERC050,Perfil C-050 C18,585.8,107.26153846153846,214.52307692307693,17.876923076923077
03POL1010,Polin 10x10 c14,4100.0,1356.0,2712.0,226.0
03POL1214,Polin 12x12 c14,1344.0,576.0,1152.0,96.0
03POL36,Polin 3x6 c14,5010.9,843.75,1687.5,140.625
03POL46,Polin 4x6 c14,7550.8,1174.2857142857142,2348.5714285714284,195.71428571428572
03POL56,Polin 5x6 c14,890.0,1452.0,2904.0,242.0
03POL66,Polin 6x6 c14,864.0,2850.0,5700.0,475.0
03POL86,Polin 8x6 c14,360.2,2474.4,4948.8,412.40000000000003
03POL88,Polin 8x8 c14,6512.6,518.4000000000001,1036.8000000000002,86.4
03PP10020,P-100 C-20,1089.4,104.29411764705883,208.58823529411765,17.38235294117647
03PP10020Z,P-100 C-20 ZINTRO,411.1,68.2,136.4,11.366666666666667
03PP15018,P-150 C-18,548.2,57.599999999999994,115.19999999999999,9.6
03PP15020,P-150 C-20,250.8,45.599999999999994,91.19999999999999,7.6
03PP20018,P-200 C-18,220.4,136.8,273.6,22.8
03PP20020Z,P-200 C-20 ZINTRO,315.2,120.4,240.8,20.066666666666666
03PP25018,P-250 C-18,915.0,73.19999999999999,146.39999999999998,12.2
03PP25020,P-250 C-20,628.8,115.19999999999999,230.39999999999998,19.2
03PP30018,P-300 C-18,689.0,120.0,240.0,20.0
03PP30020,P-300 C-20,748.3,95.4,190.8,15.9
03PP30020Z,P-300 C-20 ZINTRO,392.0,111.30000000000001,222.60000000000002,18.55
03PR10018,R-100 C-18,200.2,55.44,110.88,9.24
03PR10020,R-100 C-20,216.2,72.96000000000001,145.92000000000002,12.16
03PR10020Z,R-100 C-20 ZINTRO,297.6,96.0,192.0,16.0
03PR12518,R-125 C-18,471.2,84.0,168.0,14.0
03PR17518,R-175 C-18,670.6,123.42857142857144,246.8571428571429,20.571428571428573
03PR17520,R-175 C-20,7.267,33.599999999999994,67.19999999999999,5.6
03PR20020Z,R-200 C-20 ZINTRO,421.0,48.0,96.0,8.0
03PR22518,R-225 C-18,426.9,242.52,485.04,40.42
03PR22520,R-225 C-20,438.8,87.12,174.24,14.52
03PR30018,R-300 C-18,1972.2,491.52,983.04,81.92
03PR30020,R-300 C-20,200.8,609.6,1219.2,101.60000000000001
03PR30020Z,R-300 C-20 ZINTRO,460.25,115.19999999999999,230.39999999999998,19.2
03PR40018,R-400 C-18,993.0,233.05,466.1,38.84166666666667
03PTR11214,PTR 11/2x11/2 c14,5373.5,505.22727272727275,1010.4545454545455,84.20454545454545
03PTR113,PTR 1x1 C-13,232.0,120.0,240.0,20.0
03PTR114,PTR 1x1 c14,2773.0,217.1076923076923,434.2153846153846,36.184615384615384
03PTR11414,PTR 11/4x11/4 c14,5163.7,386.48571428571427,772.9714285714285,64.41428571428571
03PTR211,PTR 2x2 C11,280.0,168.0,336.0,28.0
03PTR2114,PTR 2x1 c14,851.4,79.2,158.4,13.200000000000001
03PTR212,PTR 2x2 c12,1964.6,148.8,297.6,24.8
03PTR21211214,PTR 2 1/2 x 1 1/2 c-14,553.5,861.3000000000001,1722.6000000000001,143.55
03PTR212114,PTR 2 1/2 X 1 1/4 C14,541.2,196.79999999999998,393.59999999999997,32.8
03PTR21214,PTR 21/2x21/2 c14,1952.4,135.0,270.0,22.5
03PTR214,PTR 2x2 c14,7283.8,495.50769230769225,991.0153846153845,82.58461538461538
03PTR3112,PTR 3x11/2 c-14,888.4,195.0,390.0,32.5
03PTR3214C,PTR 3x2 C14,984.0,330.0,660.0,55.0
03PTR3314,PTR 3x3 c14,1045.6,851.2,1702.4,141.86666666666667
03PTR34,PTR 3/4 c14,2354.75,300.29999999999995,600.5999999999999,50.05
03PTR411214,PTR 4x11/2 c14,820.0,329.6,659.2,54.93333333333334
03PTR4214,PTR 4x2 c14,1398.4,489.59999999999997,979.1999999999999,81.6
03PTR4414,PTR 4x4 c14,480.9,1292.4,2584.8,215.4
03PTR6214,PTR 6x2 c14,1012.0,342.0,684.0,57.0
03R249C18,R-249 C-18,706.5,478.79999999999995,957.5999999999999,79.8
03R250C18,R-250 C-18,735.7,268.4,536.8,44.73333333333333
03R400C20,R-400 C-20,794.5,70.80000000000001,141.60000000000002,11.8
03RIEL1500,Riel o Guia 1500 C-14,770.0,180.0,360.0,30.0
03RIEL18,Riel o Guia 1400 C-18,362.7,44.400000000000006,88.80000000000001,7.400000000000001
03TAB310T,Tablero 3x10 troq,2978.4,269.28000000000003,538.5600000000001,44.88
03TAB33,Tablero 3x3 caja/chica,24.8,55.800000000000004,111.60000000000001,9.3
03TAB36,Tablero 3x6,1374.8,137.6,275.2,22.933333333333334
03TAB36Z,Tablero 3x6 zintro,2306.4,272.8,545.6,45.46666666666667
03TAB38Z,Tablero 3x8 zintro,1886.0,245.39999999999998,490.79999999999995,40.9
03TAB3Z,Tablero 3x3 zintro,1029.2,125.55000000000001,251.10000000000002,20.925
03TABBTZ310,Tablero 3x10 Zintro Troq.,244.8,1428.0,2856.0,238.0
03TC301,Tubo Ced 30 1,145.5,33.0,66.0,5.5
03TC30114,Tubo Ced 30 1 1/4,56.0,20.0,40.0,3.3333333333333335
03TC3012,Tubo Ced 30 1/2,179.5,9.428571428571429,18.857142857142858,1.5714285714285714
03TC302,Tubo Ced 30 2,12.0,18.0,36.0,3.0
03TC30212,Tubo Ced 30 2 1/2,11.0,6.0,12.0,1.0
03TC303,Tubo Ced 30 3,17.0,3.0,6.0,0.5
03TC3031,Tubo Ced 30 3/4,137.0,24.85714285714286,49.71428571428572,4.142857142857143
03TC304,Tubo Ced 30 4,4.0,6.0,12.0,1.0
03TC30L,Tubo Ced 30 1 1/2 lg,67.0,41.0,82.0,6.833333333333333
03TC401,Tubo Ced 40 1,15.5,12.0,24.0,2.0
03TC40112,Tubo Ced 40 1 1/2,9.0,7.5,15.0,1.25
03TC40114,Tubo Ced 40 1 1/4,8.5,6.0,12.0,1.0
03TC4012,Tubo Ced 40 1/2,29.5,3.0,6.0,0.5
03TC40212,Tubo Ced 40 2 1/2,26.0,3.0,6.0,0.5
03TC4034,Tubo Ced 40 3/4,6.5,18.0,36.0,3.0
03TM16134,Tubo mofle c16 1 3/4,145.6,62.400000000000006,124.80000000000001,10.4
03TM181,Tubo mofle c18 1,540.2,158.39999999999998,316.79999999999995,26.4
03TM1812,Tubo mofle c18 1/2,681.7,36.96,73.92,6.16
03TM18134,Tubo mofle c18 1 3/4,721.9,64.5,129.0,10.75
03TM182,Tubo mofle c18 2,390.4,56.400000000000006,112.80000000000001,9.4
03TM1834,Tubo mofle c18 3/4,753.0,55.199999999999996,110.39999999999999,9.2
03TM21218,Tubo mofle c18 2 1/2,144.0,108.0,216.0,18.0
03k30018,k 300 Manguete C-18,1669.361,53.34866666666666,106.69733333333332,8.891444444444444
03CABZITR,Caballete zitroalum 3.05 c26,78.0,30.0,60.0,5.0
03LA10126300,Lam acan R101 c26 3.00,76.0,20.25,40.5,3.375
03LA10126450,Lam acan R101 c26 4.50,8.0,37.5,75.0,6.25
03LG41026,Lam galv 4x10 c26,38.0,22.0,44.0,3.6666666666666665
03LA10126350,Lam acan R101 c26 3.50,68.0,0.0,0.0,0.0
03LA10126400,Lam acan R101 c26 4.00,146.0,0.0,0.0,0.0
03LA10126500,Lam acan R101 c26 5.00,53.0,0.0,0.0,0.0
03LA10126600,Lam acan R101 c26 6.00,345.0,0.0,0.0,0.0
03LAACAPI11,Lam Acan Pintro R101 c26  11 mts,0.0,0.0,0.0,0.0
03LACAPI10,Lam Acan Pintro R101 c26  10 mts,0.0,0.0,0.0,0.0
03LAMPINT,Lam Acan Pintro R101 c26 10 ml,0.0,0.0,0.0,0.0
03LAPCBR10855,Lam poli carb BR101 .8MM 5.5mts,0.0,36.0,72.0,6.0
03LPC72488,Lam poli carb R72 4.88,12.0,21.0,42.0,3.5
03LPCR723,Lam poli carb R72 3.05,19.0,6.0,12.0,1.0
03LPCR724,Lam poli carb R72 4.27,47.0,36.0,72.0,6.0
03MD1834,Metal desp c-18 aber 3/4,38.3,12.0,24.0,2.0
03TAB3101,Tablero 3x10 ancho,958.8,153.0,306.0,25.5
03TAB38,Tablero 3x8,1956.0,410.76000000000005,821.5200000000001,68.46000000000001
05TUBGALV522,Tubo galv 2 C-20 6 ml,590.5,61.0,122.0,10.166666666666666
048011,Disco desbaste cinasa 4 1/2 x 7/8,230.0,19.5,39.0,3.25
04HDISC,Disco corte cinasa 4 1/2 x 7/8,656.0,36.0,72.0,6.0
04HDISCLF,Disco corte Cinasa 7 x  7/8,553.0,24.0,48.0,4.0
04CAZ1,Cazuela 1,302.0,0.0,0.0,0.0
04CAZ2,Cazuela 2,176.0,60.0,120.0,10.0
04CAZ3,Cazuela 3,215.0,96.0,192.0,16.0
04CHACOM,Chapeton combinado,42.0,312.0,624.0,52.0
04FOR,Forja,708.501,29.15,58.3,4.858333333333333
04HHFRE,Hoja fresno,25.0,150.0,300.0,25.0
04HHROS,Hoja de rosa,6.0,180.0,360.0,30.0
04PINACANJ3,piña jr 3   1/2,72.0,96.0,192.0,16.0
04CEMUVE,Cerradura p/mueble vertical,12.0,6.5,13.0,1.5
04HCDAD,Dado exag iman 3/8,54.0,8.666666666666666,17.333333333333332,2.0
04HFMEN1012B,Mensula 10x12 bca,25.0,52.0,104.0,12.0
04HPAL,Hilo para albañil 165 Mts 12989,34.0,50.375,100.75,11.625
04HPALCN,HILO PARA ALBAÑIL C/NARANJA 14061,18.0,13.0,26.0,3.0
04HRE31658,Remache 3/16x5/8,1800.0,325.0,650.0,75.0
04HREM5326,Remache 5/32x1/2,1600.0,325.0,650.0,75.0
04HTAQ14,Taquete plastico 1/4 44199,1854.0,833.9117647058823,1667.8235294117646,192.44117647058823
04HTAQ38,Taquete plastico 3/8  44201,4479.0,205.5625,411.125,47.4375
04HTAQ516,Taquete plastico 5/16 44200,4147.0,156.0,312.0,36.0
04MENS1214,Mensula 12x14 bca 44014,27.0,16.25,32.5,3.75
04NC14,Nudo cable 1/4 44084,64.0,104.0,208.0,24.0
04REM31612ALAN,Remache 3/16x1/2 ala ancha,1100.0,433.33333333333337,866.6666666666667,100.0
0518075,Juego de cople y conectores rapidos 18075,8.0,6.5,13.0,1.5
0529030,Llave nariz PRETUL 29030,33.0,6.5,13.0,1.5
0545046,llave para empotrar para regadera cpvc,17.0,6.5,13.0,1.5
0545272,Calentador Solar 15 Tubos 45272,0.0,6.5,13.0,1.5
0545750,Gas cople espiga c/tuerca gir 45750,25.0,19.5,39.0,4.5
0546031,Abrazadera omega 1 1/2 46031,316.0,6.5,13.0,1.5
0547431,Gas niple campana 1/2x3/8 47431,20.0,6.5,13.0,1.5
0548605,Rodaja hule 2 c/placa gir 48605,22.0,78.0,156.0,18.0
0549182,Coflex fregadero 55 inox 49182,39.0,13.0,26.0,3.0
0549365,Cespol flexible p/lavabo foset 49365,35.0,13.0,26.0,3.0
05ABRASF28,Abrazadera sin fin # 28,90.0,48.75,97.5,11.25
05ABRASF8,Abrazadera sin fin #8 44234,627.0,74.75,149.5,17.25
05ABRTO1,Abrazadera omega 1  46925,801.0,97.5,195.0,22.5
05ABRU12,Abrazadera uña 1/2,632.0,100.75,201.5,23.25
05ADAPH34,Cpvc Adaptador hembra 3/4,258.0,26.0,52.0,6.0
05ADAPHC12,Cpvc Adaptador hembra 1/2,236.0,11.375,22.75,2.625
05ADAPMC12,Cpvc Adaptador macho 1/2,230.0,43.875,87.75,10.125
05AO2,Abrazadera omega 2,221.0,131.625,263.25,30.375
05ASRED,Asiento p/sanitario 49903,39.0,6.5,13.0,1.5
05CHU1122,Chupon hule 1 1/2x2  49627,61.0,8.666666666666666,17.333333333333332,2.0
05COCP1,Cpvc cople 1,83.0,13.0,26.0,3.0
05CODC1245,Cobre Codo 1/2x45,24.0,39.0,78.0,9.0
05CODC1290,Cobre Codo 1/2x90,113.0,27.625,55.25,6.375
05CODC3490CX,Cobre Codo 3/4x90,108.0,45.5,91.0,10.5
05CODCP9012,Cpvc codo 1/2x90,225.0,80.16666666666667,160.33333333333334,18.5
05CODCP9034,Cpvc codo 3/4x90,398.0,13.0,26.0,3.0
05CODCRI12,Cobre Codo rosca int 1/2,47.0,6.5,13.0,1.5
05COFF,Coflex para fregadero 26021,33.0,35.75,71.5,8.25
05COFG3838,Gas Coflex 3/8x3/8 2m,11.0,6.5,13.0,1.5
05COFG383815,Gas Coflex 3/8x3/8 1.5m,4.0,6.5,13.0,1.5
05COFG38383,Gas Coflex 3/8x3/8 3m,16.0,6.5,13.0,1.5
05CONEXT12,Cobre Conector ext c/f 1/2,67.0,41.166666666666664,82.33333333333333,9.5
05CONEXT34,Cobre Conector ext c/f 3/4,66.0,13.0,26.0,3.0
05CONIN12,Cobre Conector int c/f 1/2,104.0,8.666666666666666,17.333333333333332,2.0
05CONIN34,Cobre Conector int c/f 3/4,45.0,16.25,32.5,3.75
05CONTD,Contracanasta de pvc c/tubo pvc 49353,12.0,39.0,78.0,9.0
05COPCOB12,Cobre Cople 1/2,99.0,9.75,19.5,2.25
05COPCP12,Cpvc cople 1/2,502.0,39.0,78.0,9.0
05COPCP34,Cpvc cople 3/4,445.0,17.333333333333332,34.666666666666664,4.0
05CPR11234,Cpvc reducc bushing 3/4x1/2,464.0,13.0,26.0,3.0
05DES55850,Destapacaños 12 55850,13.0,32.5,65.0,7.5
05ELECT3,Electronivel 3 mts,6.0,13.0,26.0,3.0
05EMPEPT,Empaque esponjoso p/tanque,26.0,6.5,13.0,1.5
05EMPM,Empaque para manguera,7.0,9.75,19.5,2.25
05ESCC1324,Escuadra cantero 16x24 14384,3.0,6.5,13.0,1.5
05JALAAGUA,Jalador para agua,13.0,6.5,13.0,1.5
05LLAAST,Llave angular sin tuerca 49110,92.0,40.300000000000004,80.60000000000001,9.3
05LLAN12UN,Llave nariz 1/2,94.0,70.2,140.4,16.200000000000003
05LLAN34,Llave nariz 3/4,76.0,13.0,26.0,3.0
05NIPGCAM3812,Gas Niple Campana 3/8 x 1/2,33.0,6.5,13.0,1.5
05NIPGTERM38,Gas Niple Terminal 3/8,89.0,0.0,0.0,0.0
05NUG38,Gas Niple Union 3/8,18.0,6.5,13.0,1.5
05PICH1,Pichancha 1,11.0,6.5,13.0,1.5
05TEECO12,Cobre Tee 1/2,73.0,29.25,58.5,6.75
05TEECO34,Cobre Tee 3/4,88.0,6.5,13.0,1.5
05TEECPVCC12,Cpvc Tee 1/2,369.0,41.6,83.2,9.600000000000001
05TORDNL,Tornillo tanque taza P/acoplar,22.0,13.0,26.0,3.0
05TUEUC12,Cpvc tuerca union 1/2,157.0,6.5,13.0,1.5
05VALBCP12,Cpvc Valvula bola 1/2,97.0,6.5,13.0,1.5
05VALER114,Valvula esfera rosc 1 1/4,3.0,6.5,13.0,1.5
05VALER2,Valvula esfera rosc 2 49005,4.0,6.5,13.0,1.5
05VALERO12,Valvula esfera rosc 1/2 49000,89.0,13.0,26.0,3.0
05VALESOL34,Valvula esfera sold 3/4,29.0,6.5,13.0,1.5
05VALESR1,Valvula esfera rosc 1,378.0,6.5,13.0,1.5
0610068,Bomba 1/2 HP Truper,3.0,6.5,13.0,1.5
06100798,Charola 12 acero inox 100798,4.0,6.5,13.0,1.5
06101525,Aspiradora de 16gal acero inox solidos-liquidos 101525,0.0,6.5,13.0,1.5
0610235,Fumigador Domestico 2lb 10235,4.0,13.0,26.0,3.0
0610252,Carretilla Truper 5.5 ft 10252 llanta imp,5.0,10.833333333333334,21.666666666666668,2.5
0610547,Extencion de acero para rodillo 1.2 m,2.0,26.0,52.0,6.0
0610549,Extencion de acero para rodillo 3m,1.0,13.0,26.0,3.0
0610566,Casco ala ancha amarillo 10566,10.0,13.0,26.0,3.0
0610612,Azadon c/cabo 1.6 lbs. 610612,12.0,6.5,13.0,1.5
0610759,Barreta de punta 1 x 150cm,4.0,13.0,26.0,3.0
0610849,Guante para mecanico alta visibilidad,19.0,6.5,13.0,1.5
0610859,Barreta de uña 3/4x75 cm,8.0,6.5,13.0,1.5
0610862,Barreta de uña 3/4x90cm,6.0,6.5,13.0,1.5
0611154,Broca fierro 13/32,18.0,6.5,13.0,1.5
0611264,Broca c/sist direct de inser 1/4x6,8.0,6.5,13.0,1.5
0611279,Broca c/sist direc de inser 1/2x6,4.0,6.5,13.0,1.5
06113416,Remache 3/16x3/8 ala ancha,400.0,650.0,1300.0,150.0
0611559,Cepillo de alambre c/mango 4x16 pinc 11559,28.0,10.214285714285714,20.428571428571427,2.357142857142857
0611570,Carda circular 3 para taladro,2.0,16.25,32.5,3.75
0611579,Disco Truper Rin Continuo 7,12.0,6.5,13.0,1.5
0611582,Disco Truper Rin Segmentado 4 1/2,12.0,7.428571428571428,14.857142857142856,1.7142857142857142
0611585,Disco Truper p/corte Metal Extrafino 4 1/2,259.0,26.0,52.0,6.0
0611752,Carretilla Truper 5.5 ft 3 (80 lts) llanta neumatica,4.0,6.5,13.0,1.5
0611807,Taladro inalambrico prof 3/8 18154,1.0,6.5,13.0,1.5
0611925,Mechero p/gas 11925,5.0,6.5,13.0,1.5
0611941,Separador 10 mm,17.0,6.5,13.0,1.5
0611979,Cavador Hercules mango 48 11979,3.0,6.5,13.0,1.5
0612077,Disco Truper rin continuo 4 1/2,0.0,16.25,32.5,3.75
0612081,Filtro de espuma para aspiradoras 6 12 y 16 gal 12081,0.0,32.5,65.0,7.5
0612085,Filtro de cartucho para aspiradoras 512 y 16 gal 12085,0.0,13.0,26.0,3.0
0612087,Filtro cartucho polvo fino p/aspiradoras 12 y 16 gal 12087,0.0,13.0,26.0,3.0
0612123,Broca Escalonada  12123,0.0,6.5,13.0,1.5
0612129,Pistola p/pintar 500ml  12129,4.0,6.5,13.0,1.5
0612147,Punta phillips cruz 2x2 12147,134.0,32.5,65.0,7.5
0612163,Cincel de corte fino 1x10,10.0,6.5,13.0,1.5
0612557,Cinta empaque transp 150m,45.0,9.75,19.5,2.25
0612583,Banda de plastico precaucion 1000 ft,10.0,9.75,19.5,2.25
0612588,Cinta para ductos 50m alta temp 12588,21.0,6.5,13.0,1.5
0612589,Cinta masking tape 1/2,44.0,130.0,260.0,30.0
0612591,Cinta masking tape 1  12591,45.0,8.125,16.25,1.875
0612593,Cinta masking tape 2,34.0,19.5,39.0,4.5
0612640,Cinta larga fibravidrio 50m metal 12640,2.0,6.5,13.0,1.5
0612815,Amarrador de varilla con grip,9.0,13.0,26.0,3.0
0612838,Repuesto cortaperno 18' 12838,1.0,6.5,13.0,1.5
0612851,Mini cortador de tubo 12851,1.0,6.5,13.0,1.5
0612860,Cortador p/Tubo pvc hasta 1 5/8,6.0,13.0,26.0,3.0
0612876,Espatula flex 8 acero inoxidable,6.0,6.5,13.0,1.5
0612909,Hidrolavadora motor a gasolina 3300 PSI 12909,0.0,13.0,26.0,3.0
0612972,Separador mosaico 2 mm,17.0,19.5,39.0,4.5
0612973,Separador mosaico 3 mm,33.0,19.5,39.0,4.5
0612974,Separador 5 mm,25.0,35.75,71.5,8.25
0613214,Matraca de liberación rápida 1/4 cod. 13214,0.0,6.5,13.0,1.5
0613289,Soldadura rollo 95-5 omega mini 13289,24.0,13.0,26.0,3.0
0613292,Guante nailon para mecanico largo,41.0,19.5,39.0,4.5
0613295,Guante nailon recubierto con nitrilo largo,60.0,30.333333333333336,60.66666666666667,7.0
0613413,Matraca doble cuadro dados 3/8 y 1/2,1.0,6.5,13.0,1.5
0613471,Aceite Multiusos en aerosol 400 ml,37.0,8.666666666666666,17.333333333333332,2.0
0613512,Cinta aislar 9mts c/amarillo,485.0,6.5,13.0,1.5
0613595,Desarmador multipunta 33 pz,1.0,6.5,13.0,1.5
0613879,Rodillo p/pintar extra rugoso 9x11/4,28.0,13.0,26.0,3.0
0613907,Felpa para Mini Rodillo esponja 4 x 3/8 Truper 13907,36.0,19.5,39.0,4.5
0613954,Juego de 25 herr cuadro 3/8 std y mm,2.0,13.0,26.0,3.0
0614036,Pistola p/pintar 1 lto 14036,2.0,6.5,13.0,1.5
0614182,Carda copa ondulada de 3 para esmeril,0.0,6.5,13.0,1.5
0614187,Carda trenzado 4 truper,5.0,6.5,13.0,1.5
0614216,Faja c/tirantes mediana 14216,6.0,6.5,13.0,1.5
0614223,Tapon auditivo de espuma c/cordon 14223,21.0,6.5,13.0,1.5
0614240,Guante carnaza uso gral largo,75.0,6.5,13.0,1.5
0614244,Guante carnaza y loneta uso lig,68.0,6.5,13.0,1.5
0614246,Guante carnaza y loneta con refuerzo,31.0,6.5,13.0,1.5
0614270,Guante p/manejo quimico med.,13.0,13.0,26.0,3.0
0614286,Guante Operador 14286,37.0,13.0,26.0,3.0
0614448,Espatula Mango Madera 2 14448,22.0,6.5,13.0,1.5
0614458,Espatula 5 usos 14458,1.0,13.0,26.0,3.0
0614578,Flexometro gripper c/impacto 5mts 14578,17.0,6.5,13.0,1.5
0614582,Flexometro 10 mts. Truper,4.0,6.5,13.0,1.5
0614607,Flexometro placa metalica 8mts truper,11.0,6.5,13.0,1.5
0614613,Flexometro gripper c/impacto 5.5 m,21.0,6.5,13.0,1.5
0614687,Atomizador de 1/2lto,13.0,6.5,13.0,1.5
0615131,Escuadra p/muro de yeso 7   15131,7.0,6.5,13.0,1.5
0615209,Lima escofina 12 cod 15209,12.0,6.5,13.0,1.5
0615246,Guantes Truper para Soldador 19458,15.0,6.5,13.0,1.5
0615248,Guante carnaza uso gral,22.0,22.75,45.5,5.25
0615301,Lima triangulo 6 cod 15307,5.0,19.5,39.0,4.5
0615369,Lona Ref 2x3 Truper 15369,8.0,19.5,39.0,4.5
0615400,Llana mango madera de 11,8.0,6.5,13.0,1.5
0615408,Escuadra Magnetica 15408,3.0,13.0,26.0,3.0
0615495,Zapatos industriales dieléctrico #28 clave 15495,1.0,6.5,13.0,1.5
0615502,Perico pavonado 10,4.0,13.0,26.0,3.0
