"Claart","Desart","iva","Costo","CosPro","Ex","Min","Max","Clauni","Numcla","Clalin","Clapro","imp2","Estado","DescMax","BarCode","FecAltart","FecUltCom","FecUltven","AcuMon","Acucan","Peso","Precios","claubi","Equivale","poraum","descuenta","presenta","obsart","depto","despa","monfon","poruti","flete","fraccion","feccam","descuento","feccampre","Volumen","barcja","barpza","unitar","barfar","negar","especial","claalt","feccad","ubicacion","unaen","fecbaj","frical","claproser","claunidsat","clafam","pteorico","numuser","nusermod","objimp"
"01PEPIM","Pega Piso y Marmol Gris Perdura 20kg","16","92.7654","92.76521","0","0","0","5","0","0","","0","yes","0","","22/12/20","22/12/20","","0","0","0","143.47715","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","42203422","H87","0","0","0","0","02"
"01PEPITEC","Pega Piso Plus Tecno piso 20kg","16","59.5","59.5","0","0","0","5","0","0","","0","yes","0","","22/12/20","22/12/20","","0","0","0","92.02667","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","31201610","H87","0","0","0","0","02"
"01PEPIUN","Pega Sobre Piso Uniramic 10kg","16","90.52","90.52","0","0","0","5","0","0","","0","yes","0","","22/12/20","22/12/20","","0","0","0","140.00427","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","31201610","H87","0","0","0","0","02"
"01PEPIUNI","Pega Piso Unicon 20kg","16","57.75862","57.75862","0","0","0","5","0","0","USL91","0","yes","0","","22/12/20","18/01/21","","-77.59","-20","0","89.33333","0","0","0","yes","","","no","no","0","0","0","no","18/01/21","0","","0","","","0","","no","no","","","","","","no","31201610","H87","0","0","0","0","02"
"01PEPIUNIR","Pega Piso Uniramic 20kg","16","63.793","63.793","0","0","0","5","0","0","","0","yes","0","","22/12/20","22/12/20","","0","0","0","98.66651","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","31201610","H87","0","0","0","0","02"
"01PH222","Polin horcon 2x2x2 mts","16","30","30","0","0","0","5","0","0","TEBL63","0","yes","0","","21/10/16","21/10/16","","0","0","0","46.4","0","0","0","yes","","","no","no","0","0","0","no","21/10/16","0","","0","","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01PH2225","Polin Horcon 2x2x2.5 mt","16","35","35","0","0","0","5","0","0","TEBL63","0","yes","0","","21/10/16","21/10/16","","0","0","0","54.13333","0","0","0","yes","","","no","no","0","0","0","no","21/10/16","0","","0","","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01PICDES","Picadora Desintegradora Mod3000","0","18010","18010","0","0","0","5","0","0","","0","yes","0","","29/12/18","29/12/18","","0","0","0","24013.33333","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","21102005","H87","0","0","0","0","02"
"01PICFORR","picadora de forraje c/mot 10 a gasolina 2500KG","0","11635","11635","0","0","0","5","0","0","AASA91","0","yes","0","AASA91","24/11/16","24/11/16","","0","0","0","15513.33333","0","0","0","yes","","","no","no","0","0","0","no","24/11/16","0","","0","000000","","0","","no","no","","","","","","no","48101600","H87","0","0","0","0","02"
"01PIED","Piedra","16","474.13793","457.4452","16","25","35","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","09/11/23","","-4167.25","-79.5","0","733.33333","1","0","0","yes","","","no","no","0","0","0","no","09/11/23","0","","18","000000","","0","","no","no","","","","","","no","11111600","H87","0","0","0","0","02"
"01PIN","Pintura anticorrosiva galon","16","241.98","241.98","0","0","0","5","0","0","PERC80","0","yes","0","","01/06/12","19/10/16","","0","0","0","374.2624","1","0","0","yes","","","no","no","0","0","0","no","19/10/16","0","","0","000000","","0","","no","no","","","","","","no","31211500","H87","0","0","0","0","02"
"01PISODB30","Piso barro 30x30 terracota 8mm","16","5.95","5.95","0","0","0","5","0","0","LME56","0","yes","0","","09/05/15","11/01/17","","0","0","0","9.20267","0","0","0","yes","","","no","no","0","0","0","no","11/01/17","0","","0","000000","","0","","no","no","","","","","","no","30121708","H87","0","0","0","0","02"
"01PISOSD","Pegapiso Porcelanato crest bulto 20kg","16","83.54","83.54","0","0","0","5","0","0","ROML44","0","yes","0","","30/05/15","23/04/16","","-112.07","-50","0","129.20853","0","0","0","yes","","","no","no","0","0","0","no","27/08/15","0","","0","000000","","0","","no","no","","","","","","no","31201600","H87","0","0","0","0","02"
"01PISTERRTE","Piso de barro 29x29x1.20mm Terracota","16","183.19","183.19","0","0","0","5","0","0","MRS53","0","yes","0","","14/01/23","23/01/23","","0","0","0","283.33387","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30121708","H87","0","0","0","0","02"
"01PL","Pie de Cria de Lombriz Roja","0","266.7","266.7","0","0","0","1","0","0","GPXA","0","yes","0","","07/03/16","06/04/17","","0","0","0","355.6","0","0","0","yes","","","no","no","0","0","0","no","06/04/17","0","","0","000000","","0","","no","no","","","","","","no","11111501","KGM","0","0","0","0","02"
"01PL210","Puerta de lamina 2.10x.90 c/vidrio","16","1400","1400","0","0","0","5","0","0","LEHF74","0","yes","0","","21/10/16","21/10/16","","0","0","0","2165.33333","0","0","0","yes","","","no","no","0","0","0","no","21/10/16","0","","0","","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01PM1424","Regla madera 1x4 de 2.4mts","16","29.33","29.33","0","0","0","5","1","9","TEBL63","0","yes","0","","29/11/13","13/10/16","","-85.7","-80","0","45.36373","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","31162800","H87","0","0","0","0","02"
"01PM1X1.80","PUERTA METALICA 1X1.80M","16","1700","1700","0","0","0","5","0","0","LEHF74","0","yes","0","","20/02/17","07/03/17","","-1810.34","-1","0","2629.33333","0","0","0","yes","","","no","no","0","0","0","no","07/03/17","0","","0","","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01PM2224","Regla madera 2x2 de 2.4mts","16","33.45","32.19673","0","0","0","5","0","0","TEBL63","0","yes","0","","29/11/13","13/10/16","","-82.86","-64","0","51.736","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","31162800","H87","0","0","0","0","02"
"01PM223","Regla madera 2x2 3.0 mts","16","43","43","0","0","0","5","0","0","TEBL63","0","yes","0","","29/11/13","21/10/16","","-114.3","-24","0","66.50667","0","0","0","yes","","","no","no","0","0","0","no","21/10/16","0","","0","000000","","0","","no","no","","","","","","no","31162800","H87","0","0","0","0","02"
"01PM248","Polin de Madera 2X4X8","16","86.20688","84.79942","8","0","0","5","0","0","TEBL63","0","yes","0","","21/01/14","29/04/20","","0","0","0","133.33331","0","0","0","yes","","","no","no","0","0","0","no","29/04/20","0","","0","","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01PM4224","Regla madera 4x2 de 2.4mts","16","58.36","58.43714","0","0","0","5","0","0","TEBL63","0","yes","0","","29/11/13","13/10/16","","-194.82","-80","0","90.26347","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","31162800","H87","0","0","0","0","02"
"01PM443","Polin de madera 4x4x3 mts","16","98","98","0","0","0","5","0","0","TEBL63","0","yes","0","","27/09/16","04/10/16","","0","0","0","151.57333","0","0","0","yes","","","no","no","0","0","0","no","04/10/16","0","","0","","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01PM90X1.60","PUERTA METALICA 90X1.60M","16","1700","1700","0","0","0","5","0","0","LEHF74","0","yes","0","","20/02/17","07/03/17","","0","0","0","2629.33333","0","0","0","yes","","","no","no","0","0","0","no","07/03/17","0","","0","","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01PM90X1.80","PUERTA METALICA 90X1.80M","16","1700","1700","0","0","0","5","0","0","LEHF74","0","yes","0","","20/02/17","07/03/17","","-1810.34","-2","0","2629.33333","0","0","0","yes","","","no","no","0","0","0","no","07/03/17","0","","0","","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01PM90X1.90","PUERTA METALICA 90X1.90M","16","1700","1700","0","0","0","5","0","0","LEHF74","0","yes","0","","20/02/17","07/03/17","","-3620.68","-4","0","2629.33333","0","0","0","yes","","","no","no","0","0","0","no","07/03/17","0","","0","","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01POL338","Polin de madera 3 1/2x31/2x8","16","85","85","0","0","0","5","0","0","TEBL63","0","yes","0","","01/06/12","29/04/20","","-102.59","-35","0","131.46667","1","0","0","yes","","","no","no","0","0","0","no","29/04/20","0","","0","000000","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01POLINM","Polin de madera 3x3x8","16","110","101.76279","12","0","0","5","0","0","TEBL63","0","yes","0","","25/09/14","07/10/21","","0","0","0","170.13333","0","0","0","yes","","","no","no","0","0","0","no","07/10/21","0","","0","000000","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01POLMAD448","Polin de madera 4x4x8","16","90.51724","90.51724","0","0","0","5","0","0","TEBL63","0","yes","0","","01/06/12","12/05/21","","-4970.5","-2467","0","140","1","0","0","yes","","","no","no","0","0","0","no","12/05/21","0","","0","000000","","0","","no","no","","","","","","no","30103607","H87","0","0","0","0","02"
"01PP1","Panel movible base PTR 1 Malla Sold C-6 4x4 1.35x2.65m","16","653.2319","653.2319","9","0","0","5","0","0","","0","yes","0","","18/10/14","31/03/19","","-27034.56","-729","0","1010.33","0","0","0","yes","","","no","no","0","0","0","no","12/11/14","0","","0","000000","","0","","no","no","","","","","","no","30161505","H87","0","0","0","0","02"
"01PP2","Panel Puerta marco contramarco PTR 1 y Malla Sold C-6 4x4","16","653.2319","653.2319","1","0","0","5","0","0","","0","yes","0","","18/10/14","31/03/19","","-29448.16","-81","0","1010.33201","0","0","0","yes","","","no","no","0","0","0","no","12/11/14","0","","0","000000","","0","","no","no","","","","","","no","30161505","H87","0","0","0","0","02"
"01PP21090","Puerta perfil 2.10x.90 c/bastidor perfil","16","0","0","0","0","0","5","0","0","LEHF74","0","yes","0","","27/02/17","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30171505","H87","0","0","0","0","02"
"01PPB20","Pega piso s/piso blanco cruz azul","16","99.1389","99.1389","0","0","0","5","0","0","PROINN","0","yes","0","","27/03/17","09/07/21","","-258.62","-11","0","153.33483","0","0","0","yes","","","no","no","0","0","0","no","09/07/21","0","","0","000000","","0","","no","no","","","","","","no","31201600","H87","0","0","0","0","02"
"01PPG","Pega Porcelanico gris de 20 kg","16","83.54","83.54","0","0","0","5","0","0","UNI74","0","yes","0","","31/08/17","31/08/17","","0","0","0","129.20853","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","31201600","H87","0","0","0","0","02"
"01PPS","Pega piso sobre piso 20 kg","16","108.78685","99.4168","240","0","0","5","0","0","bin931005","0","yes","0","","25/11/13","04/07/23","","-592.24","-24","0","189","0","0","0","yes","","","no","no","0","0","0","no","04/07/23","0","","0","000000","","0","","no","no","","","","","","no","31201600","H87","0","0","0","0","02"
"01PQ","Prensa tipo holandes cap.50 kg","16","12289","12289","0","0","0","5","0","0","PERF85","0","yes","0","","12/10/16","13/10/16","","0","0","0","19006.98667","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","23151607","H87","0","0","0","0","02"
"01PR10","Poste redondo 10 cm x 2.30 mt","16","55","55","0","0","0","5","0","0","RE7804","0","yes","0","","22/10/15","10/03/16","","0","0","0","85.06667","0","0","0","yes","","","no","no","0","0","0","no","10/03/16","0","","0","000000","","0","","no","no","","","","","","no","30102904","H87","0","0","0","0","02"
"01PR1026","Poste redondo 10 cm x 2.60 mt","16","60","60","0","0","0","5","0","0","RE7804","0","yes","0","","22/10/15","10/03/16","","0","0","0","92.8","0","0","0","yes","","","no","no","0","0","0","no","10/03/16","0","","0","000000","","0","","no","no","","","","","","no","30102904","H87","0","0","0","0","02"
"01PT","Plastico uso rudo transparente","0","9.5","9.5","0","0","0","3","0","0","RAMA55","0","yes","0","","03/12/15","05/12/15","","0","0","0","12.66667","0","0","0","yes","","","no","no","0","0","0","no","05/12/15","0","","0","000000","","0","","no","no","","","","","","no","24112902","MTR","0","0","0","0","02"
"01PW2000","Panel w ps 2000","16","469","469","13","14","14","5","0","0","AEM87","0","yes","0","","01/06/12","13/03/23","","-3698.26","-30","0","725.38667","1","0","0","yes","","","no","no","0","0","0","no","13/03/23","0","","4","000000","","0","","no","no","","","","","","no","30103600","H87","0","0","0","0","02"
"01PW3000","Panel W ps 3000","16","532","532","5","0","0","5","0","0","AEM87","0","yes","0","","01/06/12","13/03/23","","-2611.81","-22","0","822.82667","1","0","0","yes","","","no","no","0","0","0","no","13/03/23","0","","0","000000","","0","","no","no","","","","","","no","30103600","H87","0","0","0","0","02"
"01PZU2","Pegazulejo Unicon 20kg","16","51.7245","51.7245","0","0","0","5","0","0","","0","yes","0","","22/12/20","22/12/20","","0","0","0","80.00056","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","31201610","H87","0","0","0","0","02"
"01R1524HA","Rocablock doble cara 15x20x40 hueco amarillo","16","26.55172","26.55172","0","0","0","5","0","0","TAB83","0","yes","0","","18/10/22","31/12/22","","0","0","0","41.06666","0","0","0","yes","","","no","no","0","0","0","no","31/12/22","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01REMT","Remate p/teja port","16","76.19","76.19","0","0","0","5","0","0","","0","yes","0","","01/06/12","20/12/18","","0","0","0","117.84053","1","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01REP","Ajick Repelente","0","145","145","0","0","0","5","0","0","AAL92","0","yes","0","","12/11/15","13/11/15","","0","0","0","193.33333","0","0","0","yes","","","no","no","0","0","0","no","13/11/15","0","","0","000000","","0","","no","no","","","","","","no","10191500","H87","0","0","0","0","02"
"01REVH","Revolvedora de un saco motor Honda 13","16","19700","19700","0","0","0","5","0","0","","0","yes","0","","01/06/12","13/10/20","","-38189.65","-3","0","30469.33333","1","0","0","yes","","","no","no","0","0","0","no","09/07/16","0","","0","000000","","0","","no","no","","","","","","no","27112200","H87","0","0","0","0","02"
"01RF","Refrigerador vertical mod.R-16L-UL","16","13495.5","13495.5","0","0","0","5","0","0","ITA13","0","yes","0","","15/10/16","17/10/16","","0","0","0","20873.04","0","0","0","yes","","","no","no","0","0","0","no","17/10/16","0","","0","000000","","0","","no","no","","","","","","no","52141501","H87","0","0","0","0","02"
"01RMA","Reja de Madera .40x.40x.30","16","16","16","0","0","0","5","0","0","SAOJU78","0","yes","0","","13/10/16","13/10/16","","0","0","0","24.74667","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","41111604","H87","0","0","0","0","02"
"01RO124HN","Rocablock doble cara 15x20x40 hueco negro","16","26.55172","26.55172","60","0","0","5","0","0","TAB83","0","yes","0","","27/09/22","29/11/22","","0","0","0","41.06666","0","0","0","yes","","","no","no","0","0","0","no","29/11/22","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01ROB12","Rocablk 12x20x40","16","22.549","22.549","0","0","0","5","0","0","TAB83","0","yes","0","","01/06/12","22/07/23","","0","0","0","34.87579","1","0","0","yes","","","no","no","0","0","0","no","22/07/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01ROB15","Rocablk 15x20x40","16","24.602","24.58336","50","0","0","5","0","0","TAB83","0","yes","0","","01/06/12","29/05/23","","-13.91","-3","0","38.05109","1","0","0","yes","","","no","no","0","0","0","no","29/05/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01ROCBL","Rocablock 15x20x40  TERRA","16","22.339","22.339","0","0","0","5","0","0","TAB83","0","yes","0","","07/06/23","17/06/23","","0","0","0","34.55099","0","0","0","yes","","","no","no","0","0","0","no","17/06/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01RODOC224","Rocablock doble cara 20x20x40 hueco negro","16","0","0","0","0","0","5","0","0","","0","yes","0","","17/10/23","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01RVR17","Refrigerador VR17 1.82x.71x.64","16","12060.35","12060.35","0","0","0","5","0","0","REF07","0","yes","0","","13/12/16","13/12/16","","0","0","0","18653.34133","0","0","0","yes","","","no","no","0","0","0","no","13/12/16","0","","0","000000","","0","","no","no","","","","","","no","52141501","H87","0","0","0","0","02"
"01SA","Semilla de Alfalfa","0","229.5","229.5","0","0","0","1","0","0","GPXA","0","yes","0","","07/03/16","19/10/16","","0","0","0","306","0","0","0","yes","","","no","no","0","0","0","no","19/10/16","0","","0","000000","","0","","no","no","","","","","","no","10151703","KGM","0","0","0","0","02"
"01SACYES","Sacos vacios yeso maximo","16",".01",".01","0","0","0","5","0","0","","0","yes","0","","05/01/19","05/01/19","","0","0","0",".01547","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","24121500","H87","0","0","0","0","02"
"01SELL","Sello 3/8","16","225","225","0","0","0","9","0","0","TCE000","0","yes","0","","25/08/16","16/12/16","","-215.52","-1.5","0","348","0","0","0","yes","","","no","no","0","0","0","no","18/11/16","0","","0","000000","","0","","no","no","","","","","","no","11111700","MTQ","0","0","0","0","02"
"01SEMEST1","Sello mecanico lme std 1 corto c/c","16","69.708","69.708","1","0","0","5","0","0","CCS740","0","yes","0","","04/07/23","04/07/23","","0","0","0","107.81504","0","0","0","yes","","","no","no","0","0","0","no","04/07/23","0","","0","","","0","","no","no","","","","","","no","31161833","H87","0","0","0","0","02"
"01SKC","Sika curador E Tambo 196k/200L","16","4228.82","4228.82","0","0","0","5","0","0","SMM7906","0","yes","0","","06/04/20","06/04/20","","0","0","0","6540.57493","0","0","0","yes","","","no","no","0","0","0","no","06/04/20","0","","0","","","0","","no","no","","","","","","no","12162300","H87","0","0","0","0","02"
"01SKG","Sikagrout 30 kg","16","654.31034","654.31034","0","0","0","5","0","0","CAFC33","0","yes","0","","14/04/14","08/11/22","","-481.03","-1","0","1011.99999","0","0","0","yes","","","no","no","0","0","0","no","08/11/22","0","","0","000000","","0","","no","no","","","","","","no","12163301","H87","0","0","0","0","02"
"01SM","Semillas","0","9.9","9.70504","16","0","0","5","0","0","DTRM","0","yes","0","","07/11/13","13/03/17","","-56","-6","0","13.2","0","0","0","yes","","","no","no","0","0","0","no","13/03/17","0","","0","000000","","0","","no","no","","","","","","no","10151500","H87","0","0","0","0","02"
"01SON15","Sonotubo 15cm","16","75.11","75.11","37","7","7","5","0","0","CTS98","0","yes","0","","01/06/12","23/10/23","","-475.01","-16","0","116.17013","1","0","0","yes","","","no","no","0","0","0","no","23/10/23","0","","2","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON20","Sonotubo 20cm","16","125.42","125.42","44","14","14","5","0","0","CTS98","0","yes","0","","01/06/12","23/10/23","","-2816.31","-171","0","193.98293","1","0","0","yes","","","no","no","0","0","0","no","23/10/23","0","","4","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON25","Sonotubo 25cm","16","172.44","172.47886","56","14","14","5","0","0","CTS98","0","yes","0","","01/06/12","23/10/23","","-2520.09","-66","0","266.7072","1","0","0","yes","","","no","no","0","0","0","no","23/10/23","0","","4","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON30","Sonotubo 30cm","16","222.1","222.1","40","14","49","5","0","0","CTS98","0","yes","0","","01/06/12","23/10/23","","-3955.62","-70","0","343.51467","1","0","0","yes","","","no","no","0","0","0","no","23/10/23","0","","8.66667","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON35","Sonotubo 35cm","16","328.1","305.68095","22","28","28","5","0","0","CTS98","0","yes","0","","01/06/12","25/04/23","","-2224.12","-20","0","508","1","0","0","yes","","","no","no","0","0","0","no","25/04/23","0","","8","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON40","Sonotubo 40cm","16","432.69","430.25167","25","0","0","5","0","0","CTS98","0","yes","0","","01/06/12","11/09/23","","-2798.27","-37","0","669.2272","1","0","0","yes","","","no","no","0","0","0","no","11/09/23","0","","0","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON45","Sonotubo 45cm","16","221.33","221.33","0","0","0","5","0","0","CTS98","0","yes","0","","01/06/12","05/03/15","","0","0","0","342.32373","1","0","0","yes","","","no","no","0","0","0","no","05/03/15","0","","0","000000","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SON60","Sonotubo 60 cm","16","908.64","908.64","0","0","0","5","0","0","CTS98","0","yes","0","","22/03/23","03/05/23","","0","0","0","1405.3632","0","0","0","yes","","","no","no","0","0","0","no","03/05/23","0","","0","","","0","","no","no","","","","","","no","24141701","H87","0","0","0","0","02"
"01SZS5","Sika Zero Salitre 5 lt pet","16","435.12069","435.12069","0","0","0","5","0","0","CAFC33","0","yes","0","","19/06/23","24/06/23","","0","0","0","672.98667","0","0","0","yes","","","no","no","0","0","0","no","24/06/23","0","","0","","","0","","no","no","","","","","","no","12164905","H87","0","0","0","0","02"
"01T100LT","Tina media caña acero inox cap. 100 lt","16","7795.4635","7795.4635","0","0","0","5","0","0","PERF85","0","yes","0","","12/10/16","13/10/16","","0","0","0","12056.98355","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","24112204","H87","0","0","0","0","02"
"01T1124","Tabla  1x 12x 4 mt","16","170","170","0","0","0","5","0","0","TEBL63","0","yes","0","","22/10/15","02/04/16","","0","0","0","262.93333","0","0","0","yes","","","no","no","0","0","0","no","10/03/16","0","","0","000000","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01T1128","Tabla madera 1x8x12","16","104","104","0","0","0","5","0","0","","0","yes","0","","03/12/16","11/11/19","","0","0","0","160.85333","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","11121600","H87","0","0","0","0","02"
"01T196","Tabla madera 1x9x6","16","75","75","0","0","0","5","0","0","TEBL63","0","yes","0","","03/12/16","03/12/16","","0","0","0","116","0","0","0","yes","","","no","no","0","0","0","no","03/12/16","0","","0","","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01T244","Triplay 2.44x1.22x 3mm","16","350","330.39","0","0","0","5","0","0","TEBL63","0","yes","0","","01/06/12","22/07/23","","-12392.55","-3086","0","541.33333","1","0","0","yes","","","no","no","0","0","0","no","22/07/23","0","","0","000000","","0","","no","no","","","","","","no","11121600","H87","0","0","0","0","02"
"01T4M","Tabla madera 1x12 x 4 mt","16","200","200","0","0","0","5","0","0","TEBL63","0","yes","0","","22/10/15","05/09/16","","0","0","0","309.33333","0","0","0","yes","","","no","no","0","0","0","no","05/09/16","0","","0","000000","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01T6","Triplay 1.22x2.44 x 6mm","16","224.1379","224.1379","0","0","0","5","19","0","","0","yes","0","","20/12/18","20/12/18","","0","0","0","346.66662","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","11121600","H87","0","0","0","0","02"
"01TA-6","Tornillo  De Banco 6 TRUPER","16","2152.65","2152.65","1","0","0","5","0","0","THE7911","0","yes","0","","18/03/17","24/11/22","","0","0","0","3329.432","0","0","0","yes","","","no","no","0","0","0","no","24/11/22","0","","0","000000","","0","","no","no","","","","","","no","31161500","H87","0","0","0","0","02"
"01TAB1104","Tabla de madera 1x10X4","16","52.58625","52.58625","0","0","0","5","0","0","TEBL63","0","yes","0","","24/07/19","25/07/19","","0","0","0","81.3334","0","0","0","yes","","","no","no","0","0","0","no","25/07/19","0","","0","","","0","","no","no","","","","","","no","11121600","H87","0","0","0","0","02"
"01TAB1108","Tabla de madera 3/4x10X8","16","95","95","0","0","0","5","0","0","TEBL63","0","yes","0","","14/07/17","05/06/21","","0","0","0","146.93333","0","0","0","yes","","","no","no","0","0","0","no","05/06/21","0","","0","000000","","0","","no","no","","","","","","no","11121600","H87","0","0","0","0","02"
"01TAB3019","Tablon Andamio Desplegado","16","1200","1200","0","0","0","5","11","0","FAR88","0","yes","0","","20/06/23","23/06/23","","0","0","0","1856","0","0","0","yes","","","no","no","0","0","0","no","23/06/23","0","","0","","","0","","no","no","","","","","","no","11121616","H87","0","0","0","0","02"
"01TABAND","Tablon andamio desplegado 8ft x 10in","16","0","0","0","0","0","5","0","0","","0","yes","0","","23/06/23","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30191609","H87","0","0","0","0","02"
"01TABLC","Tabla de madera 1x12x8","16","104","104","14","0","0","5","0","0","","0","yes","0","","01/12/14","31/03/19","","-137.93","-2","0","160.85333","0","0","0","yes","","","no","no","0","0","0","no","12/12/16","0","","0","000000","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01TABLST","Tablones de 1x12x8","16","80","80","0","0","0","5","0","0","SAOJU78","0","yes","0","","31/01/13","21/10/16","","-2838.9","-226","0","123.73333","0","0","0","yes","","","no","no","0","0","0","no","21/10/16","0","","0","000000","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01TABM1238","Tabla de madera 1/2x3x8 pies","16","50","50","0","0","0","5","0","0","TEBL63","0","yes","0","","03/09/21","06/09/21","","0","0","0","77.33333","0","0","0","yes","","","no","no","0","0","0","no","06/09/21","0","","0","","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01TABMAD168","Tabla de madera 1x6x8","16","65","65","0","0","0","5","0","0","TEBL63","0","yes","0","","01/06/12","07/10/21","","0","0","0","100.53333","1","0","0","no","","","no","no","0","0","0","no","07/10/21","0","","0","","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01TABMAD1810","Tabla de madera 1x8x10","16","148.27588","148.27588","0","0","0","5","0","0","TEBL63","0","yes","0","","01/06/12","25/07/19","","0","0","0","229.33336","1","0","0","no","","","no","no","0","0","0","no","25/07/19","0","","0","","","0","","no","no","","","","","","no","30103605","H87","0","0","0","0","02"
"01TAP","Tapa cisterna 50 x 50","16","349.1379","349.1379","0","0","0","5","0","0","","0","yes","0","","01/06/12","31/03/19","","-39308.82","-608","0","539.99995","1","0","0","yes","","","no","no","0","0","0","no","27/01/17","0","","0","000000","","0","","no","no","","","","","","no","24122004","H87","0","0","0","0","02"
"01TAPASOL","Estructura galv c/chumacera p/cortinas","16","1752","1752","0","0","0","5","0","0","VQU40","0","yes","0","","14/12/15","14/12/15","","0","0","0","2709.76","0","0","0","yes","","","no","no","0","0","0","no","14/12/15","0","","0","000000","","0","","no","no","","","","","","no","30103600","H87","0","0","0","0","02"
"01TAR","Tarimas de Madera","16","250","206.18146","932","0","0","5","0","0","RPA2106","0","yes","0","","01/06/12","26/08/23","","-3944.5","-168","0","386.66667","1","0","0","yes","","","no","no","0","0","0","no","26/08/23","0","","0","000000","","0","","no","no","","","","","","no","24112700","H87","0","0","0","0","02"
"01TARBLO","Tarima Bloquera","16","130","130","16","0","0","5","0","0","MRS53","0","yes","0","","22/12/20","26/11/21","","-173.28","-11","0","201.06667","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","24112701","H87","0","0","0","0","02"
